county,office,party,candidate,votes
San Augustine,Comptroller,LIB,,22
San Jacinto,Comptroller,DEM,Janet T. Dudding,1470
San Jacinto,Comptroller,REP,Glenn Hegar,7892
San Jacinto,Comptroller,LIB,,131
San Patricio,Comptroller,DEM,Janet T. Dudding,5319
San Patricio,Comptroller,REP,Glenn Hegar,11821
San Patricio,Comptroller,LIB,,484
San Saba,Comptroller,DEM,Janet T. Dudding,181
San Saba,Comptroller,REP,Glenn Hegar,1928
San Saba,Comptroller,LIB,,16
Schleicher,Comptroller,DEM,Janet T. Dudding,160
Schleicher,Comptroller,REP,Glenn Hegar,767
Schleicher,Comptroller,LIB,,30
Scurry,Comptroller,DEM,Janet T. Dudding,438
Scurry,Comptroller,REP,Glenn Hegar,3568
Scurry,Comptroller,LIB,,63
Shackelford,Comptroller,DEM,Janet T. Dudding,86
Shackelford,Comptroller,REP,Glenn Hegar,1130
Shackelford,Comptroller,LIB,,11
Shelby,Comptroller,DEM,Janet T. Dudding,1040
Shelby,Comptroller,REP,Glenn Hegar,5758
Shelby,Comptroller,LIB,,49
Sherman,Comptroller,DEM,Janet T. Dudding,32
Sherman,Comptroller,REP,Glenn Hegar,659
Sherman,Comptroller,LIB,,7
Smith,Comptroller,DEM,Janet T. Dudding,17766
Smith,Comptroller,REP,Glenn Hegar,56281
Smith,Comptroller,LIB,,1268
Somervell,Comptroller,DEM,Janet T. Dudding,500
Somervell,Comptroller,REP,Glenn Hegar,3406
Somervell,Comptroller,LIB,,74
Starr,Comptroller,DEM,Janet T. Dudding,4452
Starr,Comptroller,REP,Glenn Hegar,3119
Starr,Comptroller,LIB,,641
Stephens,Comptroller,DEM,Janet T. Dudding,217
Stephens,Comptroller,REP,Glenn Hegar,2473
Stephens,Comptroller,LIB,,23
Sterling,Comptroller,DEM,Janet T. Dudding,19
Sterling,Comptroller,REP,Glenn Hegar,417
Sterling,Comptroller,LIB,,5
Stonewall,Comptroller,DEM,Janet T. Dudding,81
Stonewall,Comptroller,REP,Glenn Hegar,473
Stonewall,Comptroller,LIB,,4
Sutton,Comptroller,DEM,Janet T. Dudding,149
Sutton,Comptroller,REP,Glenn Hegar,952
Sutton,Comptroller,LIB,,27
Swisher,Comptroller,DEM,Janet T. Dudding,242
Swisher,Comptroller,REP,Glenn Hegar,1364
Swisher,Comptroller,LIB,,33
Tarrant,Comptroller,DEM,Janet T. Dudding,259563
Tarrant,Comptroller,REP,Glenn Hegar,310784
Tarrant,Comptroller,LIB,,14991
Taylor,Comptroller,DEM,Janet T. Dudding,8091
Taylor,Comptroller,REP,Glenn Hegar,29904
Taylor,Comptroller,LIB,,939
Terrell,Comptroller,DEM,Janet T. Dudding,92
Terrell,Comptroller,REP,Glenn Hegar,286
Terrell,Comptroller,LIB,,10
Terry,Comptroller,DEM,Janet T. Dudding,336
Terry,Comptroller,REP,Glenn Hegar,2011
Terry,Comptroller,LIB,,91
Throckmorton,Comptroller,DEM,Janet T. Dudding,50
Throckmorton,Comptroller,REP,Glenn Hegar,602
Throckmorton,Comptroller,LIB,,2
Titus,Comptroller,DEM,Janet T. Dudding,1470
Titus,Comptroller,REP,Glenn Hegar,5653
Titus,Comptroller,LIB,,113
Tom Green,Comptroller,DEM,Janet T. Dudding,6987
Tom Green,Comptroller,REP,Glenn Hegar,23679
Tom Green,Comptroller,LIB,,791
Travis,Comptroller,DEM,Janet T. Dudding,306510
Travis,Comptroller,REP,Glenn Hegar,131849
Travis,Comptroller,LIB,,13975
Trinity,Comptroller,DEM,Janet T. Dudding,760
Trinity,Comptroller,REP,Glenn Hegar,4456
Trinity,Comptroller,LIB,,45
Tyler,Comptroller,DEM,Janet T. Dudding,819
Tyler,Comptroller,REP,Glenn Hegar,6168
Tyler,Comptroller,LIB,,88
Upshur,Comptroller,DEM,Janet T. Dudding,1828
Upshur,Comptroller,REP,Glenn Hegar,12174
Upshur,Comptroller,LIB,,185
Upton,Comptroller,DEM,Janet T. Dudding,115
Upton,Comptroller,REP,Glenn Hegar,841
Upton,Comptroller,LIB,,38
Uvalde,Comptroller,DEM,Janet T. Dudding,2725
Uvalde,Comptroller,REP,Glenn Hegar,4664
Uvalde,Comptroller,LIB,,365
Val Verde,Comptroller,DEM,Janet T. Dudding,3514
Val Verde,Comptroller,REP,Glenn Hegar,5144
Val Verde,Comptroller,LIB,,510
Van Zandt,Comptroller,DEM,Janet T. Dudding,2227
Van Zandt,Comptroller,REP,Glenn Hegar,17627
Van Zandt,Comptroller,LIB,,219
Victoria,Comptroller,DEM,Janet T. Dudding,5924
Victoria,Comptroller,REP,Glenn Hegar,18521
Victoria,Comptroller,LIB,,548
Walker,Comptroller,DEM,Janet T. Dudding,4496
Walker,Comptroller,REP,Glenn Hegar,12318
Walker,Comptroller,LIB,,340
Waller,Comptroller,DEM,Janet T. Dudding,4588
Waller,Comptroller,REP,Glenn Hegar,11663
Waller,Comptroller,LIB,,348
Ward,Comptroller,DEM,Janet T. Dudding,410
Ward,Comptroller,REP,Glenn Hegar,2018
Ward,Comptroller,LIB,,68
Washington,Comptroller,DEM,Janet T. Dudding,2500
Washington,Comptroller,REP,Glenn Hegar,11121
Washington,Comptroller,LIB,,188
Webb,Comptroller,DEM,Janet T. Dudding,24165
Webb,Comptroller,REP,Glenn Hegar,13835
Webb,Comptroller,LIB,,3702
Wharton,Comptroller,DEM,Janet T. Dudding,2434
Wharton,Comptroller,REP,Glenn Hegar,9467
Wharton,Comptroller,LIB,,169
Wheeler,Comptroller,DEM,Janet T. Dudding,106
Wheeler,Comptroller,REP,Glenn Hegar,1532
Wheeler,Comptroller,LIB,,18
Wichita,Comptroller,DEM,Janet T. Dudding,7448
Wichita,Comptroller,REP,Glenn Hegar,23092
Wichita,Comptroller,LIB,,667
Wilbarger,Comptroller,DEM,Janet T. Dudding,503
Wilbarger,Comptroller,REP,Glenn Hegar,2564
Wilbarger,Comptroller,LIB,,58
Willacy,Comptroller,DEM,Janet T. Dudding,1940
Willacy,Comptroller,REP,Glenn Hegar,1455
Willacy,Comptroller,LIB,,240
Williamson,Comptroller,DEM,Janet T. Dudding,100941
Williamson,Comptroller,REP,Glenn Hegar,114169
Williamson,Comptroller,LIB,,6042
Wilson,Comptroller,DEM,Janet T. Dudding,4044
Wilson,Comptroller,REP,Glenn Hegar,14865
Wilson,Comptroller,LIB,,368
Winkler,Comptroller,DEM,Janet T. Dudding,166
Winkler,Comptroller,REP,Glenn Hegar,1090
Winkler,Comptroller,LIB,,30
Wise,Comptroller,DEM,Janet T. Dudding,3201
Wise,Comptroller,REP,Glenn Hegar,21942
Wise,Comptroller,LIB,,466
Wood,Comptroller,DEM,Janet T. Dudding,2296
Wood,Comptroller,REP,Glenn Hegar,15542
Wood,Comptroller,LIB,,205
Yoakum,Comptroller,DEM,Janet T. Dudding,158
Yoakum,Comptroller,REP,Glenn Hegar,1392
Yoakum,Comptroller,LIB,,39
Young,Comptroller,DEM,Janet T. Dudding,571
Young,Comptroller,REP,Glenn Hegar,5455
Young,Comptroller,LIB,,79
Zapata,Comptroller,DEM,Janet T. Dudding,1366
Zapata,Comptroller,REP,Glenn Hegar,1140
Zapata,Comptroller,LIB,,195
Zavala,Comptroller,DEM,Janet T. Dudding,1372
Zavala,Comptroller,REP,Glenn Hegar,650
Zavala,Comptroller,LIB,,101
