county,office,district,candidate,party,votes
MONTGOMERY,Attorney General,,Sam Houston,DEM,17886
MONTGOMERY,Attorney General,,Ken Paxton,REP,84004
MONTGOMERY,Attorney General,,OTHER,OTH,2308
MOORE,Attorney General,,Sam Houston,DEM,316
MOORE,Attorney General,,Ken Paxton,REP,2368
MOORE,Attorney General,,OTHER,OTH,69
MORRIS,Attorney General,,Sam Houston,DEM,1109
MORRIS,Attorney General,,Ken Paxton,REP,1852
MORRIS,Attorney General,,OTHER,OTH,67
MOTLEY,Attorney General,,Sam Houston,DEM,19
MOTLEY,Attorney General,,Ken Paxton,REP,331
MOTLEY,Attorney General,,OTHER,OTH,8
NACOGDOCHES,Attorney General,,Sam Houston,DEM,2812
NACOGDOCHES,Attorney General,,Ken Paxton,REP,8803
NACOGDOCHES,Attorney General,,OTHER,OTH,274
NAVARRO,Attorney General,,Sam Houston,DEM,2247
NAVARRO,Attorney General,,Ken Paxton,REP,7000
NAVARRO,Attorney General,,OTHER,OTH,184
NEWTON,Attorney General,,Sam Houston,DEM,818
NEWTON,Attorney General,,Ken Paxton,REP,1964
NEWTON,Attorney General,,OTHER,OTH,57
NOLAN,Attorney General,,Sam Houston,DEM,597
NOLAN,Attorney General,,Ken Paxton,REP,1903
NOLAN,Attorney General,,OTHER,OTH,83
NUECES,Attorney General,,Sam Houston,DEM,24863
